number,value,params_max_depth,params_min_samples_leaf,params_n_estimators
34,0.24526671649216233,19,2,22
37,0.245621026941666,19,2,19
49,0.2468952080608561,20,2,23
48,0.2468952080608561,20,2,23
40,0.24718432323552084,18,2,16
42,0.24718432323552084,18,2,16
20,0.24764796146223295,14,2,20
13,0.24838630524358316,14,2,18
21,0.24857048464545253,13,2,20
41,0.24859456061807236,18,2,15
27,0.25077284198634664,17,2,25
31,0.25077284198634664,17,2,25
32,0.25077284198634664,17,2,25
16,0.2514493808243844,13,2,17
15,0.2514493808243844,13,2,17
14,0.2514493808243844,13,2,17
12,0.2515405569489679,15,2,19
23,0.25433991010240037,12,2,20
39,0.26014588789513726,19,3,22
33,0.26047091273030903,16,3,24
11,0.2609685950694839,16,4,19
10,0.2609685950694839,16,4,19
3,0.261056195159082,17,5,23
35,0.261767403823366,19,3,21
22,0.2638497732616059,14,3,21
24,0.2649241085541609,15,3,18
44,0.264942514354067,20,2,11
47,0.2661570005041783,18,3,19
38,0.26622987600626385,20,5,18
36,0.2666192087645893,12,3,22
26,0.26669311884313296,14,5,18
28,0.268397465167364,12,3,20
43,0.2693617192468619,18,3,15
4,0.2698720040689876,15,6,22
19,0.2707747080531228,18,5,13
5,0.274037230570742,19,7,23
17,0.2760278146608677,11,4,16
29,0.2761832840209492,14,8,23
6,0.2785759078396829,11,6,15
45,0.2789979426819533,19,7,16
25,0.27952861127714684,10,4,21
30,0.2813815457704801,10,4,16
8,0.2870463443514645,20,9,10
0,0.2902922138387286,11,9,12
18,0.2943107308797622,9,3,20
7,0.3123303252487437,8,7,22
2,0.31725982009941167,8,3,14
9,0.3622167246673168,6,10,14
1,0.36681452072230786,6,3,25
46,0.4082285232091735,5,4,14
