,input,target
0,с тех пор жил он в своей симбирской деревне где и женился на девице авдотье васильевне ю дочери бедного тамошнего дворянина,S S S S S S S S C S S S S S S S C S S S P
1,матушка была еще мною брюхата как уже я был записан в семеновский полк сержантом по милости майора гвардии князя в близкого нашего родственника,S S S S C S S S S S S S S C S S S S S C S S P
2,если бы паче всякого чаяния матушка родила дочь то батюшка объявил бы куда следовало о смерти неявившегося сержанта и дело тем бы и кончилось,S S S S S S S C S S S S S S S S S C S S S S S P
3,с пятилетнего возраста отдан я был на руки стремянному савельичу за трезвое поведение пожалованному мне в дядьки,S S S S S S S S S C S S S S S S P
4,в это время батюшка нанял для меня француза мосье бопре которого выписали из москвы вместе с годовым запасом вина и прованского масла,S S S S S S S C S C S S S S S S S S S S S P
5,слава богу ворчал он про себя кажется дитя умыт причесан накормлен,S C S S S C C S C C P
6,куда как нужно тратить лишние деньги и нанимать мусье как будто и своих людей не стало,S S S S S S S S C S S S S S S EX
7,он был добрый малый но ветрен и беспутен до крайности,S S S C S S S S S P
8,главною его слабостию была страсть к прекрасному полу нередко за свои нежности получал он толчки от которых охал по целым суткам,S S S S S S S C S S S S S S C S S S S S P
9,к тому же не был он и врагом бутылки т е любил хлебнуть лишнее,S S S S S S S S C S S S S P
10,доложили что мусье давал мне свой урок,C S S S S S P
11,надобно знать что для меня выписана была из москвы географическая карта,S C S S S S S S S S P
12,я решился сделать из нее змей и пользуясь сном бопре принялся за работу,S S S S S S C S S C S S P
13,батюшка вошел в то самое время как я прилаживал мочальный хвост к мысу доброй надежды,S S S S S C S S S S S S S S P
14,увидя мои упражнения в географии батюшка дернул меня за ухо потом подбежал к бопре разбудил его очень неосторожно и стал осыпать укоризнами,S S S S C S S S S C S S S C S S S S S S S P
15,бопре в смятении хотел было привстать и не мог несчастный француз был мертво пьян,S S S S S S S S C S S S S P
16,семь бед один ответ,S C S P
17,батюшка за ворот приподнял его с кровати вытолкал из дверей и в тот же день прогнал со двора к неописанной радости савельича,S S S S S S C S S S S S S S S S S C S S S P
18,я жил недорослем гоняя голубей и играя в чехарду с дворовыми мальчишками,S S C S S S S S S S S P
19,однажды осенью матушка варила в гостиной медовое варенье а я облизываясь смотрел на кипучие пенки,S S S S S S S C S C C S S S P
20,батюшка у окна читал придворный календарь ежегодно им получаемый,S S S S S C S S P
21,зато когда он случайно его находил то бывало по целым часам не выпускал уж из своих рук,C S S S S C C C S S S S S S S S P
22,итак батюшка читал придворный календарь изредка пожимая плечами и повторяя вполголоса генерал-поручик,C S S S C S S S S S C EX
23,наконец батюшка швырнул календарь на диван и погрузился в задумчивость не предвещавшую ничего доброго,S S S S S S S S S C S S S P
24,вдруг он обратился к матушке авдотья васильевна а сколько лет петруше,S S S S C S C S S S Q
25,да вот пошел семнадцатый годок отвечала матушка,S S S S C S P
26,петруша родился в тот самый год как окривела тетушка настасья гарасимовна и когда еще,S S S S S C S S S S C S S P
27,добро прервал батюшка пора его в службу,C S C S S S P
28,мысль о скорой разлуке со мною так поразила матушку что она уронила ложку в кастрюльку и слезы потекли по ее лицу,S S S S S S S S C S S S S S C S S S S S P
29,напротив того трудно описать мое восхищение,S C S S S P
30,мысль о службе сливалась во мне с мыслями о свободе об удовольствиях петербургской жизни,S S S S S S S S S C S S S P
31,я воображал себя офицером гвардии что по мнению моему было верхом благополучия человеческого,S S S S C C S S C S S S P
32,батюшка не любил ни переменять свои намерения ни откладывать их исполнение,S S S S S S C S S S P
33,накануне батюшка объявил что намерен писать со мною к будущему моему начальнику и потребовал пера и бумаги,S S C S S S S S S S S C S S S S P
34,не забудь андрей петрович сказала матушка поклониться и от меня князю б я дескать надеюсь что он не оставит петрушу своими милостями,S C S C S C S S S S S C C C C S S S S S S P
35,что за вздор отвечал батюшка нахмурясь,S S C S S P
36,да ведь ты сказал что изволишь писать к начальнику петруши,S S S C S S S S S Q
37,ну а там что,C S S Q
38,да ведь начальник петрушин князь б ведь петруша записан в семеновский полк,S S S C S S S S S S S P
39,а мне какое дело что он записан,S S S C S S Q
40,чему научится он служа в петербурге мотать да повесничать,S S C S S C S S Q
41,нет пускай послужит он в армии да потянет лямку да понюхает пороху да будет солдат а не шаматон,C S S S S C S S C S S C S S C S S P
42,где его пашпорт подай его сюда,S S C S S P
43,матушка отыскала мой паспорт хранившийся в ее шкатулке вместе с сорочкою в которой меня крестили и вручила его батюшке дрожащею рукою,S S S C S S S S S S C S S S C S S S S S P
44,батюшка прочел его со вниманием положил перед собою на стол и начал свое письмо,S S S S C S S S S S S S S P
45,любопытство меня мучило куда ж отправляют меня если уж не в петербург,S S C S S S C S S S S Q
46,я не сводил глаз с пера батюшкина которое двигалось довольно медленно,S S S S S S C S S S P
47,итак все мои блестящие надежды рушились,C S S S S EX
48,служба о которой за минуту думал я с таким восторгом показалась мне тяжким несчастием,C S S S S S S S S C S S S P
49,батюшка сказал мне прощай петр,S S C C P
50,матушка в слезах наказывала мне беречь мое здоровье а савельичу смотреть за дитятей,S S S S S S S C S S S S P
51,надели на меня заячий тулуп а сверху лисью шубу,S S S S C S S S P
52,я сел в кибитку с савельичем и отправился в дорогу обливаясь слезами,S S S S S S S S S C S P
