,input,input_lemma,new_target
0,с тех пор жил он в своей симбирской деревне где и женился на девице авдотье васильевне ю дочери бедного тамошнего дворянина,с тот пора жить он в свой симбирский деревня где и жениться на девица авдотья василиевич ю дочь бедный тамошний дворянин,S S S S S S S S C S S S S S S S C S S S F
1,матушка была еще мною брюхата как уже я был записан в семеновский полк сержантом по милости майора гвардии князя в близкого нашего родственника,матушка быть еще я брюхатый как уже я быть записать в семеновский полк сержант по милость майор гвардия князь в близкий наш родственник,S S S S C S S S S S S S S C S S S S S C S S F
2,если бы паче всякого чаяния матушка родила дочь то батюшка объявил бы куда следовало о смерти неявившегося сержанта и дело тем бы и кончилось,если бы паче всякий чаяние матушка родить дочь то батюшка объявить бы куда следовать о смерть неявиться сержант и дело тот бы и кончиться,S S S S S S S C S S S S S S S S S C S S S S S F
3,с пятилетнего возраста отдан я был на руки стремянному савельичу за трезвое поведение пожалованному мне в дядьки,с пятилетний возраст отдать я быть на рука стремянный савельич за трезвый поведение пожаловать я в дядька,S S S S S S S S S C S S S S S S F
4,в это время батюшка нанял для меня француза мосье бопре которого выписали из москвы вместе с годовым запасом вина и прованского масла,в это время батюшка нанять для я француз мосье бопер который выписать из москва вместе с годовой запас вино и прованский масло,S S S S S S S C S C S S S S S S S S S S S F
5,слава богу ворчал он про себя кажется дитя умыт причесан накормлен,слава бог ворчать он про себя кажется дитя умыть причесать накормить,S C S S S C C S C C F
6,куда как нужно тратить лишние деньги и нанимать мусье как будто и своих людей не стало,куда как нужный тратить лишний деньга и нанимать мусие как будто и свой человек не стать,S S S S S S S S C S S S S S S F
7,он был добрый малый но ветрен и беспутен до крайности,он быть добрый малый но ветреный и беспутный до крайность,S S S C S S S S S F
8,главною его слабостию была страсть к прекрасному полу нередко за свои нежности получал он толчки от которых охал по целым суткам,главный он слабость быть страсть к прекрасный пол нередко за свой нежность получать он толчок от который охать по целый сутки,S S S S S S S C S S S S S S C S S S S S F
9,к тому же не был он и врагом бутылки т е любил хлебнуть лишнее,к тот же не быть он и враг бутылка т е любить хлебнуть лишний,S S S S S S S S C S S S S F
10,доложили что мусье давал мне свой урок,доложить что мусие давать я свой урок,C S S S S S F
11,надобно знать что для меня выписана была из москвы географическая карта,надобно знать что для я выписать быть из москва географический карта,S C S S S S S S S S F
12,я решился сделать из нее змей и пользуясь сном бопре принялся за работу,я решиться сделать из она змея и пользоваться сон бопер приняться за работа,S S S S S S C S S C S S F
13,батюшка вошел в то самое время как я прилаживал мочальный хвост к мысу доброй надежды,батюшка войти в тот самый время как я прилаживать мочальный хвост к мыс добрый надежда,S S S S S C S S S S S S S S F
14,увидя мои упражнения в географии батюшка дернул меня за ухо потом подбежал к бопре разбудил его очень неосторожно и стал осыпать укоризнами,увидеть мой упражнение в география батюшка дернуть я за ухо потом подбежать к бопра разбудить он очень неосторожно и стать осыпать укоризна,S S S S C S S S S C S S S C S S S S S S S F
15,бопре в смятении хотел было привстать и не мог несчастный француз был мертво пьян,бопер в смятение хотеть быть привстать и не мочь несчастный француз быть мертво пьяный,S S S S S S S S C S S S S F
16,семь бед один ответ,семь беда один ответ,S C S F
17,батюшка за ворот приподнял его с кровати вытолкал из дверей и в тот же день прогнал со двора к неописанной радости савельича,батюшка за ворота приподнять он с кровать вытолкать из дверь и в тот же день прогнать с двор к неописанный радость савельич,S S S S S S C S S S S S S S S S S C S S S F
18,я жил недорослем гоняя голубей и играя в чехарду с дворовыми мальчишками,я жить недоросль гонять голубь и играть в чехарда с дворовый мальчишка,S S C S S S S S S S S F
19,однажды осенью матушка варила в гостиной медовое варенье а я облизываясь смотрел на кипучие пенки,однажды осень матушка варить в гостиная медовый варение а я облизываясь смотреть на кипучий пенка,S S S S S S S C S C C S S S F
20,батюшка у окна читал придворный календарь ежегодно им получаемый,батюшка у окно читать придворный календарь ежегодно они получать,S S S S S C S S F
21,зато когда он случайно его находил то бывало по целым часам не выпускал уж из своих рук,зато когда он случайно он находить то бывать по целый час не выпускать уж из свой рука,C S S S S C C C S S S S S S S S F
22,итак батюшка читал придворный календарь изредка пожимая плечами и повторяя вполголоса генерал-поручик,итак батюшка читать придворный календарь изредка пожимать плечо и повторять вполголоса генерал-поручик,C S S S C S S S S S C F
