,input,target
0,несколько лет тому назад в одном из своих поместий жил старинный русской барин кирила петрович троекуров,S S S S S S S S S S S S C S S P
1,его богатство знатный род и связи давали ему большой вес в губерниях где находилось его имение,S C S S S S S S S S S C S S S P
2,соседи рады были угождать малейшим его прихотям губернские чиновники трепетали при его имени,S S S S S S C S S S S S P
3,кирила петрович принимал знаки подобострастия как надлежащую дань дом его всегда был полон гостями готовыми тешить его барскую праздность разделяя шумные а иногда и буйные его увеселения,S S S S S S S C S S S S S C S S S S C S C S S S S S P
4,никто не дерзал отказываться от его приглашения или в известные дни не являться с должным почтением в село покровское,S S S S S S C S S S S S S S S S S S P
5,в домашнем быту кирила петрович выказывал все пороки человека необразованного,S S S S S S S S S P
6,избалованный всем что только окружало его он привык давать полную волю всем порывам пылкого своего нрава и всем затеям довольно ограниченного ума,S C S S S C S S S S S S S S S S S S S S S P
7,не смотря на необыкновенную силу физических способностей он раза два в неделю страдал от обжорства и каждый вечер бывал навеселе,S S S S S S C S S S S S S S S S S S S P
8,в одном из флигелей его дома жили 16 горничных занимаясь рукоделиями свойственными их полу,S S S S S S S S C S C S S P
9,окны во флигеле были загорожены деревянною решеткою двери запирались замками от коих ключи хранились у кирила петровича,S S S S S S C S S C S S S S S S P
10,молодые затворницы в положеные часы сходили в сад и прогуливались под надзором двух старух,S C S S C S S S S S S S S P
11,от времени до времени кирила петрович выдавал некоторых из них за муж и новые поступали на их место,S S S S S S S S S S S S S S S S S P
12,с крестьянами и дворовыми обходился он строго и своенравно не смотря на то они были ему преданы они тщеславились богатством и славою своего господина и в свою очередь позволяли себе многое в отношении к их соседам надеясь на его сильное покровительство,S S S S S S S S C S S S C S S S C S S S S S S S S S S S S S S S S S S C S S S S P
13,всегдашние занятия троекурова состояли в разъездах около пространных его владений в продолжительных пирах и в проказах ежедневно при том изобретаемых и жертвою коих бывал обыкновенно какой-нибудь новый знакомец хотя и старинные приятели не всегда их избегали за исключением одного андрея гавриловича дубровского,S S S S S S S S S C S S C S S C S S S S S S S S S S S C S S S S S S S S S S S S S P
14,сей дубровский отставной поручик гвардии был ему ближайшим соседом и владел семидесятью душами,S C S S C S S S S S S S P
15,троекуров надменный в сношениях с людьми самого высшего звания уважал дубровского не смотря на его смиренное состояние,C S S S S S S S C S C S S S S S P
16,некогда были они товарищами по службе и троекуров знал по опыту нетерпеливость и решительность его характера,S S S S S S S S S S S S S S S P
17,обстоятельства разлучил и их надолго,S S S S P
18,дубровский с расстроенным состоянием принужден был выдти в отставку и поселиться в остальной своей деревне,S S S S S S S S S S S S S S P
19,кирила петрович узнав о том предлагал ему свое покровительство но дубровский благодарил его и остался беден и независим,S C S S C S S S C S S S S S S S S P
20,спустя несколько лет троекуров отставной генерал-аншеф приехал в свое поместие они свидились и обрадовались друг другу,S S S C S C S S S C S S S S S P
21,с тех пор они каждый день бывали вместе и кирила петрович отроду не удостоивавший никого своим посещением заезжал запросто в домишка своего старого товарища,S S S S S S S C S S C S S S S S C S S S S S S P
22,будучи ровесниками рожденные в одном сословии воспитанные одинаково они сходствовали отчасти и в характерах и в наклонностях,S C S S S C S C S S S S S S S S P
23,в некоторых отношениях и судьба их была одинакова оба женились по любви оба скоро овдовели у обоих оставалось по ребенку,S S S S S S S C S S S C S S C S S S S P
24,сын дубровского воспитывался в петербурге дочь кирила петровича росла в глазах родителя и троекуров часто говаривал дубровскому слушай брат андрей гаврилович коли в твоем володьке будет путь так отдам за него машу даром что он гол как сокол,S S S S C S S S S S S C S S S S C C C S C S S S S S C S S S S C S S S S S P
25,андрей гаврилович качал головой и отвечал обыкновенно нет кирила петрович мой володька не жених марии кириловне,S S S S S S C C S C S S S S S P
26,бедному дворянину каков он лучше жениться на бедной дворяночке да быть главою в доме чем сделаться приказчиком избалованной бабенки,S C S C S S S S C S S S S C S S S S P
27,все завидовали согласию царствующему между надменным троекуровым и бедным его соседом и удивлялись смелости сего последнего когда он за столом у кирила петровича прямо высказывал свое мнение не заботясь о том противуречило ли оно мнениям хозяина,S S C S S S S S S S S S S S S C S S S S S S S S S S C S S S C S S S S P
28,некоторые пытались было ему подражать и выдти из пределов должного повиновения но кирила петрович так их пугнул что навсегда отбил у них охоту к таковым покушениям и дубровский один остался вне общего закона,S S S S S S S S S S C S S S S S C S S S S S S S S C S S S S S S P
29,нечаянный случай все расстроил и переменил,S S S S S P
30,раз в начале осени кирила петрович собирался в отъезжее поле,S S S C S S S S S P
31,накануне был отдан приказ псарям и стремянным быть готовыми к пяти часам утра,S S S S S S S S S S S S P
32,палатка и кухня отправлены были вперед на место где кирила петрович должен был обедать,S S S S S S S C S S S S S P
