,input,target
0,отец мой андрей петрович гринев в молодости своей служил при графе минихе и вышел в отставку премьер-майором в 17 году,S S S S S S S S S S S S S S S S S S S P
1,с тех пор жил он в своей симбирской деревне где и женился на девице авдотье васильевне ю дочери бедного тамошнего дворянина,S S S S S S S S C S S S S S S S C S S S P
2,нас было девять человек детей,S S S S P
3,все мои братья и сестры умерли во младенчестве,S S S S S S S P
4,матушка была еще мною брюхата как уже я был записан в семеновский полк сержантом по милости майора гвардии князя в близкого нашего родственника,S S S S C S S S S S S S S C S S S S S C S S P
5,если бы паче всякого чаяния матушка родила дочь то батюшка объявил бы куда следовало о смерти неявившегося сержанта и дело тем бы и кончилось,S S S S S S S C S S S S S S S S S C S S S S S P
6,я считался в отпуску до окончания наук,S S S S S S P
7,в то время воспитывались мы не по-нонешнему,S S S S S S P
8,с пятилетнего возраста отдан я был на руки стремянному савельичу за трезвое поведение пожалованному мне в дядьки,S S S S S S S S S C S S S S S S P
9,под его надзором на двенадцатом году выучился я русской грамоте и мог очень здраво судить о свойствах борзого кобеля,S S S S S S S S S S S S S S S S S S P
10,в это время батюшка нанял для меня француза мосье бопре которого выписали из москвы вместе с годовым запасом вина и прованского масла,S S S S S S S C S C S S S S S S S S S S S P
11,приезд его сильно не понравился савельичу,S S S S S P
12,слава богу ворчал он про себя кажется дитя умыт причесан накормлен,S C S S S C C S C C P
13,куда как нужно тратить лишние деньги и нанимать мусье как будто и своих людей не стало,S S S S S S S S C S S S S S S EX
14,он был добрый малый но ветрен и беспутен до крайности,S S S C S S S S S P
15,главною его слабостию была страсть к прекрасному полу нередко за свои нежности получал он толчки от которых охал по целым суткам,S S S S S S S C S S S S S S C S S S S S P
16,к тому же не был он и врагом бутылки т е любил хлебнуть лишнее,S S S S S S S S C S S S S P
17,но как вино подавалось у нас только за обедом и то по рюмочке причем учителя обыкновенно и обносили то мой бопре очень скоро привык к русской настойке и даже стал предпочитать ее винам своего отечества как не в пример более полезную для желудка,S S S S S S S S C S S S C S S S S C S S S S S S S S S S S S S S S S C S S S S S S S P
18,мы тотчас поладили и хотя по контракту обязан он был учить меня по-французски по-немецки и всем наукам но он предпочел наскоро выучиться от меня кое-как болтать по-русски и потом каждый из нас занимался уже своим делом,S S C S S S S S S S S S C S S S C S S S S S S S S S C S S S S S S S S P
19,мы жили душа в душу,S S S S P
20,другого ментора я и не желал,S S S S S P
21,но вскоре судьба нас разлучила и вот по какому случаю прачка палашка толстая и рябая девка и кривая коровница акулька как-то согласились в одно время кинуться матушке в ноги винясь в преступной слабости и с плачем жалуясь на мусье обольстившего их неопытность,S S S S C S S S S C S C S S S C S S S S S S S S S S S S C S S S S S S S S S C S S P
22,матушка шутить этим не любила и пожаловалась батюшке,S S S S S S S P
23,у него расправа была коротка,S S S S P
24,он тотчас потребовал каналью француза,S S S S P
25,доложили что мусье давал мне свой урок,C S S S S S P
26,батюшка пошел в мою комнату,S S S S P
27,в это время бопре спал на кровати сном невинности,S S S S S S S S P
28,я был занят делом,S S S P
29,надобно знать что для меня выписана была из москвы географическая карта,S C S S S S S S S S P
30,она висела на стене безо всякого употребления и давно соблазняла меня шириною и добротою бумаги,S S S S S S S S S S S S S S P
31,я решился сделать из нее змей и пользуясь сном бопре принялся за работу,S S S S S S C S S C S S P
32,батюшка вошел в то самое время как я прилаживал мочальный хвост к мысу доброй надежды,S S S S S C S S S S S S S S P
33,увидя мои упражнения в географии батюшка дернул меня за ухо потом подбежал к бопре разбудил его очень неосторожно и стал осыпать укоризнами,S S S S C S S S S C S S S C S S S S S S S P
34,бопре в смятении хотел было привстать и не мог несчастный француз был мертво пьян,S S S S S S S S C S S S S P
35,семь бед один ответ,S C S P
36,батюшка за ворот приподнял его с кровати вытолкал из дверей и в тот же день прогнал со двора к неописанной радости савельича,S S S S S S C S S S S S S S S S S C S S S P
37,тем и кончилось мое воспитание,S S S S P
38,я жил недорослем гоняя голубей и играя в чехарду с дворовыми мальчишками,S S C S S S S S S S S P
39,между тем минуло мне шестнадцать лет,S S S S S P
40,тут судьба моя переменилась,S S S P
41,однажды осенью матушка варила в гостиной медовое варенье а я облизываясь смотрел на кипучие пенки,S S S S S S S C S C C S S S P
42,батюшка у окна читал придворный календарь ежегодно им получаемый,S S S S S C S S P
43,эта книга имела всегда сильное на него влияние никогда не перечитывал он ее без особенного участия и чтение это производило в нем всегда удивительное волнение желчи,S S S S S S S C S S S S S S S C S S S S S S S S S P
44,матушка знавшая наизусть все его свычаи и обычаи всегда старалась засунуть несчастную книгу как можно подалее и таким образом придворный календарь не попадался ему на глаза иногда по целым месяцам,C S S S S S S C S S S S S S S C S S S S S S S S S S S S S P
45,зато когда он случайно его находил то бывало по целым часам не выпускал уж из своих рук,C S S S S C C C S S S S S S S S P
46,итак батюшка читал придворный календарь изредка пожимая плечами и повторяя вполголоса генерал-поручик,C S S S C S S S S S C EX
47,он у меня в роте был сержантом,S S S S S S EX
48,обоих российских орденов кавалер,S S S EX
49,а давно ли мы,S S S P
50,наконец батюшка швырнул календарь на диван и погрузился в задумчивость не предвещавшую ничего доброго,S S S S S S S S S C S S S P
51,вдруг он обратился к матушке авдотья васильевна а сколько лет петруше,S S S S C S C S S S Q
52,да вот пошел семнадцатый годок отвечала матушка,S S S S C S P
53,петруша родился в тот самый год как окривела тетушка настасья гарасимовна и когда еще,S S S S S C S S S S C S S P
54,добро прервал батюшка пора его в службу,C S C S S S P
55,полно ему бегать по девичьим да лазить на голубятни,S S S S S S S S P
56,мысль о скорой разлуке со мною так поразила матушку что она уронила ложку в кастрюльку и слезы потекли по ее лицу,S S S S S S S S C S S S S S C S S S S S P
57,напротив того трудно описать мое восхищение,S C S S S P
58,мысль о службе сливалась во мне с мыслями о свободе об удовольствиях петербургской жизни,S S S S S S S S S C S S S P
59,я воображал себя офицером гвардии что по мнению моему было верхом благополучия человеческого,S S S S C C S S C S S S P
60,батюшка не любил ни переменять свои намерения ни откладывать их исполнение,S S S S S S C S S S P
61,день отъезду моему был назначен,S S S S P
62,накануне батюшка объявил что намерен писать со мною к будущему моему начальнику и потребовал пера и бумаги,S S C S S S S S S S S C S S S S P
63,не забудь андрей петрович сказала матушка поклониться и от меня князю б я дескать надеюсь что он не оставит петрушу своими милостями,S C S C S C S S S S S C C C C S S S S S S P
64,что за вздор отвечал батюшка нахмурясь,S S C S S P
65,к какой стати стану я писать к князю б,S S S S S S S S P
66,да ведь ты сказал что изволишь писать к начальнику петруши,S S S C S S S S S Q
67,ну а там что,C S S Q
68,да ведь начальник петрушин князь б ведь петруша записан в семеновский полк,S S S C S S S S S S S P
69,записан,EX
70,а мне какое дело что он записан,S S S C S S Q
71,петруша в петербург не поедет,S S S S P
72,чему научится он служа в петербурге мотать да повесничать,S S C S S C S S Q
73,нет пускай послужит он в армии да потянет лямку да понюхает пороху да будет солдат а не шаматон,C S S S S C S S C S S C S S C S S P
74,записан в гвардии,S S EX
75,где его пашпорт подай его сюда,S S C S S P
76,матушка отыскала мой паспорт хранившийся в ее шкатулке вместе с сорочкою в которой меня крестили и вручила его батюшке дрожащею рукою,S S S C S S S S S S C S S S C S S S S S P
77,батюшка прочел его со вниманием положил перед собою на стол и начал свое письмо,S S S S C S S S S S S S S P
78,любопытство меня мучило куда ж отправляют меня если уж не в петербург,S S C S S S C S S S S Q
79,я не сводил глаз с пера батюшкина которое двигалось довольно медленно,S S S S S S C S S S P
80,наконец он кончил запечатал письмо в одном пакете с паспортом снял очки и подозвав меня сказал вот тебе письмо к андрею карловичу р моему старинному товарищу и другу,S S C S S S S S S C S S C S C C S S S S S S C S S S S P
81,ты едешь в оренбург служить под его начальством,S S S S S S S P
82,итак все мои блестящие надежды рушились,C S S S S EX
83,вместо веселой петербургской жизни ожидала меня скука в стороне глухой и отдаленной,S S S S S S S S S S S P
84,служба о которой за минуту думал я с таким восторгом показалась мне тяжким несчастием,C S S S S S S S S C S S S P
85,но спорить было нечего,S S S P
86,на другой день поутру подвезена была к крыльцу дорожная кибитка уложили в нее чемодан погребец с чайным прибором и узлы с булками и пирогами последними знаками домашнего баловства,S S S S S S S S S C S S S C S S S S S S S S S C S S S P
87,родители мои благословили меня,S S S P
