,input,target
0,взявшись хлопотать об издании повестей и п белкина предлагаемых ныне публике мы желали к оным присовокупить хотя краткое жизнеописание покойного автора и тем отчасти удовлетворить справедливому любопытству любителей отечественной словесности,S S S S S S S C S S C S S S S S S S S S S S S S S S S S S P
1,для сего обратились было мы к марье алексеевне трафилиной ближайшей родственнице и наследнице ивана петровича белкина но к сожалению ей невозможно было нам доставить никакого о нем известия ибо покойник вовсе не был ей знаком,S S S S S S S S C S S S S S S C C S C S S S S S S S S C S S S S S S P
2,она советовала нам отнестись по сему предмету к одному почтенному мужу бывшему другом ивану петровичу,S S S S S S S S S S C S S S P
3,мы последовали сему совету и на письмо наше получили нижеследующий желаемый ответ,S S S C S S S S S S S P
4,помещаем его безо всяких перемен и примечаний как драгоценный памятник благородного образа мнений и трогательного дружества а вместе с тем как и весьма достаточное биографическое известие,S S S S S S C S S S S S S S S C S S S C S S S S S P
5,милостивый государь мой,S S EX
6,почтеннейшее письмо ваше от 15-го сего месяца получить имел я честь 23 сего же месяца в коем вы изъявляете мне свое желание иметь подробное известие о времени рождения и смерти о службе о домашних обстоятельствах также и о занятиях и нраве покойного ивана петровича белкина бывшего моего искреннего друга и соседа по поместьям,S S S S S S S S S S S S S S C S S S S S S S S S S S S S S C S C S S C S S S S S S S S S C S S S S S S S P
7,с великим моим удовольствием исполняю сие ваше желание и препровождаю к вам милостивый государь мой все что из его разговоров а также из собственных моих наблюдений запомнить могу,S S S S S S S S S S S C S S C C S S S C S S S S S S S P
8,иван петрович белкин родился от честных и благородных родителей в 1798 году в селе горюхине,S S S S S S S S S S S S S S P
9,покойный отец его секунд-майор петр иванович белкин был женат на девице пелагее гавриловне из дому трафилиных,S S C S S S C S S S S S S S S P
10,он был человек не богатый но умеренный и по части хозяйства весьма смышленый,S S S S C S C S S S S S P
11,сын их получил первоначальное образование от деревенского дьячка,S S S S S S S P
12,сему-то почтенному мужу был он кажется обязан охотою к чтению и занятиям по части русской словесности,S S S S C C S S S S S S S S S P
13,в 1815 году вступил он в службу в пехотный егерский полк в коем и находился до самого 1823 года,S S S S S S S S S S C S S S S S S S P
14,смерть его родителей почти в одно время приключившаяся понудила его подать в отставку и приехать в село горюхино свою отчину,S S C S S S S C S S S S S S S S S C S P
15,вступив в управление имения иван петрович по причине своей неопытности и мягкосердия в скором времени запустил хозяйство и ослабил строгий порядок заведенный покойным его родителем,S S S C S C S S S S S C S S S S S S S S C S S S P
16,сменив исправного и расторопного старосту коим крестьяне его были недовольны поручил он управление села старой своей ключнице приобретшей его доверенность искусством рассказывать истории,S S S S C S S S S C S S S S S S C S S S S S P
17,сия глупая старуха не умела никогда различить двадцатипятирублевой ассигнации от пятидесятирублевой крестьяне коим она всем была кума ее вовсе не боялись ими выбранный староста до того им потворствовал плутуя заодно что иван петрович принужден был отменить барщину и учредить весьма умеренный оброк но и тут крестьяне пользуясь его слабостию на первый год выпросили себе нарочитую льготу а в следующие более двух третей оброка платили орехами брусникою и тому подобным и тут были недоимки,S S S S S S S S S S C C S S S S C S S S C S S S S S S C S C S S S S S S S S S S S C S S S C S S C S S S S S S C S S S S S S S S C S S S C S S S P
18,быв приятель покойному родителю ивана петровича я почитал долгом предлагать и сыну свои советы и неоднократно вызывался восстановить прежний им упущенный порядок,S S S S S C S S S S S S S S S S S S C S C P
19,для сего приехав однажды к нему потребовал я хозяйственные книги призвал плута старосту и в присутствии ивана петровича занялся рассмотрением оных,S C S S S C S S S C S S S S S S S S S S P
20,молодой хозяин сначала стал следовать за мною со всевозможным вниманием и прилежностию но как по счетам оказалось что в последние два года число крестьян умножилось число же дворовых птиц и домашнего скота нарочито уменьшилось то иван петрович довольствовался сим первым сведением и далее меня не слушал и в ту самую минуту как я своими разысканиями и строгими допросами плута старосту в крайнее замешательство привел и к совершенному безмолвию принудил с великою моею досадою услышал я ивана петровича крепко храпящего на своем стуле,S S S S S S S S S S S C S S S S C S S S S S S S C S S S S S S S S C S S S S S S S S S S S C S S S S C S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S P
21,с тех пор перестал я вмешиваться в его хозяйственные распоряжения и предал его дела распоряжению всевышнего,S S S S S S S S S S S S S S S P
22,сие дружеских наших сношений нисколько впрочем не расстроило ибо я соболезнуя его слабости и пагубному нерадению общему молодым нашим дворянам искренно любил ивана петровича да нельзя было и не любить молодого человека столь кроткого и честного,S S S S C C S C S C S S S S S C S S S C S S S C S S S S S S S S S S S P
23,с своей стороны иван петрович оказывал уважение к моим летам и сердечно был ко мне привержен,S S S S S S S S S S S S S S S P
24,до самой кончины своей он почти каждый день со мною виделся дорожа простою моею беседою хотя ни привычками ни образом мыслей ни нравом мы большею частию друг с другом не сходствовали,S S S S S S S S S S C S S S C S S C S S C S S S S S S S S S P
25,иван петрович вел жизнь самую умеренную избегал всякого рода излишеств никогда не случалось мне видеть его навеселе к женскому же полу имел он великую склонность но стыдливость была в нем истинно девическая,S S S S S C S S S C S S S S S S C S S S S S S S C S S S S S S P
