,input,target
0,сей исторический отрывок составлял часть труда мною оставленного,S S S S S C S P
1,в нем собрано все что было обнародовано правительством касательно пугачева и то что показалось мне достоверным в иностранных писателях говоривших о нем также имел я случай пользоваться некоторыми рукописями преданиями и свидетельством живых,S S S C S S S S S C S C S S S S S S C S S S S S S S S S C S S S P
2,дело о пугачеве доныне не распечатанное находилось в государственном санкт-петербургском архиве вместе с другими важными бумагами некогда тайнами государственными ныне превращенными в исторические материалы,S S C S S C S S S S S S S S S C S S C S S S S P
3,государь император по своем восшествии на престол приказал привести их в порядок,S S S S S S S S S S S P
4,сии сокровища вынесены были из подвалов где несколько наводнений посетило их и едва не уничтожило,S S S S S C S S S S S S S S P
5,будущий историк коему позволено будет распечатать дело о пугачеве легко исправит и дополнит мой труд конечно несовершенный но добросовестный,S C S S S S S S C S S S S S C S C S P
6,историческая страница на которой встречаются имена екатерины румянцова двух паниных суворова бибикова михельсона вольтера и державина не должна быть затеряна для потомства,S C S S S S C C S C C C C S S C S S S S S P
7,а пушкин2 ноября 1833село болдиномне кажется сего вора всех замыслов и похождений не только посредственному но ниже самому превосходнейшему историку порядочно описать едва ли бы удалось коего все затеи не от разума и воинского распорядка но от дерзости случая и удачи зависели,S S S S S C S S S S S S S S C S S S S S S S S S S C S S S S S S S S C S S C S S S P
8,почему и сам пугачев подробностей оных не только рассказать но нарочитой части припомнить не в состоянии поелику не от его одного непосредственно но от многих его сообщников полной воли и удальства в разных вдруг местах происходили,S S S S S S S S C S S S S S S C S S S S S C S S S S S S S S S S S S S P
9,архимандрит платон любарский,S S P
10,глава первая,S P
11,начало яицких казаков,S S P
12,поэтическое предание,S P
13,царская грамота,S P
14,грабежи на каспийском море,S S S P
15,стенька разин,S P
16,нечай и шамай,S S P
17,предположения петра великого,S S P
18,внутренние беспокойства,S P
19,побег кочующего народа,S S P
20,бунт яицких казаков,S S P
21,он орошает часть башкирии составляет почти всю юго-восточную границу оренбургской губернии справа примыкают к нему заволжские степи слева простираются печальные пустыни где кочуют орды диких племен известных у нас под именем киргиз-кайсаков,S S S C S S S S S S C S S S S S C S S S C S S S S C S S S S S P
22,его течение быстро мутные воды наполнены рыбою всякого рода берега большею частию глинистые песчаные и безлесные но в местах поемных удобные для скотоводства,S S C S S S S S C S S S C S S C S S S S S S P
23,близ устья оброс он высоким камышом где кроются кабаны и тигры,S S S S S C S S S S P
24,на сей-то реке в пятнадцатом столетии явились донские казаки разъезжавшие по хвалынскому морю,S S C S S C S S C S S S P
25,они зимовали на ее берегах в то время еще покрытых лесом и безопасных по своему уединению весною снова пускались в море разбойничали до глубокой осени и к зиме возвращались на яик,S S S S C S S S S S S S S S S C S S S S C S S S S S S S S S P
26,подаваясь всё вверх с одного места на другое наконец они избрали себе постоянным пребыванием урочище коловратное в шестидесяти верстах от нынешнего уральска,S S S S S S S C S S S S S S S S S S S S S P
27,в соседстве новых поселенцев кочевали некоторые татарские семейства отделившиеся от улусов золотой орды и искавшие привольных пажитей на берегах того же яика,S S S S S S S C S S S S S S S S S S S S S P
28,сначала оба племени враждовали между собою но в последствии времени вошли в дружелюбные сношения казаки стали получать жен из татарских улусов,S S S S S C S S S S S S S C S S S S S S P
29,сохранилось поэтическое предание казаки страстные к холостой жизни положили между собой убивать приживаемых детей а жен бросать при выступлении в новый поход,S S C C S S S C S S S S S C S S S S S S S P
30,один из их атаманов по имени гугня первый преступил жестокий закон пощадив молодую жену и казаки по примеру атамана покорились игу семейственной жизни,S S S C S S C S S S C S S C S C S S C S S S P
31,доныне просвещенные и гостеприимные жители уральских берегов пьют на своих пирах здоровье бабушки гугнихи,C S S C S S S S S S S S S P
32,живя набегами окруженные неприязненными племенами казаки чувствовали необходимость в сильном покровительстве и в царствование михаила федоровича послали от себя в москву просить государя чтоб он принял их под свою высокую руку,S C S S C S S S S S S S S S S S S S S S S S C S S S S S S S P
