CE_train,CE_val,accuracy_train,accuracy_val
1.243518485971119025e+00,8.270540508356961640e-01,6.386310904872389838e-01,7.447780678851174674e-01
3.405463770139908197e-01,6.652804329604297129e-01,9.283642691415313619e-01,8.139686684073107470e-01
1.420664181365914880e-01,5.914599062850722788e-01,9.783932714617169513e-01,8.302872062663185782e-01
7.655747987572913971e-02,5.784593711232209889e-01,9.895591647331786200e-01,8.394255874673629547e-01
5.388396570081080417e-02,6.424677356980837972e-01,9.911542923433874774e-01,8.289817232375978895e-01
2.769224439963590551e-02,6.132259267660511437e-01,9.968097447795823962e-01,8.453002610966057206e-01
1.754881036771542210e-02,6.127231453859863786e-01,9.984048723897911426e-01,8.563968668407310192e-01
1.752056921089904795e-02,6.615071248553403560e-01,9.981148491879350271e-01,8.439947780678851430e-01
3.101750037504657012e-02,6.418511466933535248e-01,9.915893271461716507e-01,8.550913838120104415e-01
8.798091304893403131e-03,6.430590519947665396e-01,9.992749419953596002e-01,8.544386422976500972e-01
